"id","link","name","color","builtin_memory","manufacturer","price_regular","price_sale","sku","reviews_count","images","characteristics","created_at","updated_at","status","screen_diagonal","screen_resolution"
"5","https://brain.com.ua/ukr/Mobilniy_telefon_Apple_iPhone_16_Pro_Max_256GB_Black_Titanium-p1145443.html","Мобільний телефон Apple iPhone 16 Pro Max 256GB Black Titanium (MYWV3)","чорний","256 Gb","Apple","65 799",NULL,"U0961530",1,"{https://brain.com.ua/static/images/prod_img/3/0/U0961530_1738426633.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_2_1738426634.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_3_1738426634.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_4_1738426636.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_5_1738426637.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_6_1738426638.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_7_1738426639.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_8_1738426641.jpg,https://brain.com.ua/static/images/prod_img/3/0/U0961530_9_1738426642.jpg}","[[""Основні характеристики"", {""Форм-фактор"": ""моноблок"", ""Формат SIM-карти"": ""e-sim,                                 Nano"", ""Кількість SIM-карт"": ""1 SIM + e-sim"", ""Покоління зв'язку (2G /3G/4G/5G)"": ""2G,                                 3G,                                 4G,                                 5G""}], [""Дисплей"", {""Тип дисплея"": ""OLED (Super Retina XDR)"", ""Матеріал екрану"": ""Ceramic Shield"", ""Діагональ екрану"": ""6.9\"""", ""Частота оновлення екрану"": ""120 Гц"", ""Роздільна здатність екрану"": ""1320 х 2868""}], [""Процесор"", {""Процесор"": ""Apple A18 Pro"", ""Відеоядро"": ""Apple Ax Series"", ""Кількість ядер"": ""6 core""}], [""Функції пам'яті"", {""Вбудована пам'ять"": ""256 Gb""}], [""Камера"", {""Основна камера"": ""48 + 48 + 12 Mpx"", ""Функції камери"": ""панорама,                                 розпізнавання обличчя,                                 HDR,                                 геотегінг,                                 спалах,                                 автофокус"", ""Фронтальна камера"": ""12 Mpx"", ""Метод стабілізації"": ""оптична"", ""Діафрагма основної камери"": ""f/1.78 + f/2.2 + f/2.8"", ""Запис відео основної камери"": ""4K / 3840x2160 / стереозвук"", ""Діафрагма фронтальної камери"": ""f/1.9"", ""Запис відео фронтальної камери"": ""4K / 3840x2160 / стереозвук"", ""Кількість модулів основної камери"": ""3"", ""Кількість модулів фронтальної камери"": ""1""}], [""Програмне забезпечення"", {""Органайзер"": ""календар,                                 телефонна книга,                                 диктофон,                                 секундомір,                                 калькулятор,                                 будильник,                                 світовий час,                                 нотатки,                                 годинник"", ""Мультимедіа"": ""ігри,                                 FM-радіо,                                 мобільні сервіси Google,                                 соціальні мережі,                                 відеоплеєр,                                 музичний плеєр"", ""Операційна система"": ""iOS 18""}], [""Бездротові технології"", {""Навігація"": ""BeiDou,                                 Galileo,                                 QZSS,                                 iBeacon,                                 GPS,                                 A-GPS"", ""Бездротові підключення"": ""Bluetooth,                                 WI-FI,                                 NFC""}], [""Інтерфейси"", {""Інтерфейси і підключення"": ""USB Type-C""}], [""Додатково"", {""Безпека"": ""FaceID"", ""Оснащення"": ""пило/вологозахист,                                 гіроскоп,                                 бездротове заряджання"", ""Особливості"": ""IP68 certified"", ""Вбудовані датчики"": ""датчик наближення,                                 гіроскоп,                                 барометр,                                 датчик освітлення,                                 акселерометр,                                 компас""}], [""Фізичні характеристики"", {""Вага"": ""227 г"", ""Колір"": ""чорний"", ""Розміри (мм)"": ""163 х 77.6 х 8.25 мм"", ""Матеріал корпуса"": ""титан,                                 алюміній"", ""Особливості корпусу"": ""безрамковий дисплей,                                 водонепроникні""}], [""Інші"", {""Модель"": ""iPhone 16 Pro Max 256GB Black Titanium"", ""Артикул"": ""MYWV3"", ""Виробник"": ""Apple"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""Штрихкод"": ""195949805783"", ""Гарантія, міс"": ""12""}]]","2026-02-12 11:18:21.44653+02","2026-02-12 11:19:54.626224+02","DE","6.9""","1320 х 2868"
"6","https://brain.com.ua/ukr/Mobilniy_telefon_Apple_iPhone_15_128GB_Black-p1044347.html","Мобільний телефон Apple iPhone 15 128GB Black (MTP03)","чорний","128 Gb","Apple","35 499","33 299","U0854689",1,"{https://brain.com.ua/static/images/prod_img/8/9/U0854689_1739047983.jpg,https://brain.com.ua/static/images/prod_img/8/9/U0854689_2_1739047984.jpg,https://brain.com.ua/static/images/prod_img/8/9/U0854689_3_1739047986.jpg}","[[""Основні характеристики"", {""Форм-фактор"": ""моноблок"", ""Формат SIM-карти"": ""e-sim,                                 Nano"", ""Кількість SIM-карт"": ""1 SIM + e-sim"", ""Покоління зв'язку (2G /3G/4G/5G)"": ""2G,                                 3G,                                 4G,                                 5G""}], [""Дисплей"", {""Тип дисплея"": ""OLED"", ""Діагональ екрану"": ""6.1\"""", ""Частота оновлення екрану"": ""60 Гц"", ""Роздільна здатність екрану"": ""1179 х 2556""}], [""Процесор"", {""Процесор"": ""Apple A16 Bionic"", ""Кількість ядер"": ""6 core""}], [""Функції пам'яті"", {""Вбудована пам'ять"": ""128 Gb""}], [""Камера"", {""Основна камера"": ""48 + 12 Mpx"", ""Функції камери"": ""панорама,                                 розпізнавання обличчя,                                 геотегінг,                                 спалах,                                 автофокус"", ""Фронтальна камера"": ""12 Mpx"", ""Метод стабілізації"": ""оптична"", ""Діафрагма основної камери"": ""f/1.6 + f/2.4"", ""Запис відео основної камери"": ""4K / 3840x2160 / стереозвук"", ""Діафрагма фронтальної камери"": ""f/1.9"", ""Кількість модулів основної камери"": ""2"", ""Кількість модулів фронтальної камери"": ""1""}], [""Програмне забезпечення"", {""Органайзер"": ""калькулятор,                                 телефонна книга,                                 диктофон,                                 секундомір,                                 нотатки,                                 будильник,                                 світовий час,                                 годинник,                                 календар"", ""Мультимедіа"": ""FM-радіо,                                 мобільні сервіси Google,                                 соціальні мережі,                                 відеоплеєр,                                 музичний плеєр,                                 ігри"", ""Операційна система"": ""iOS 17""}], [""Бездротові технології"", {""Навігація"": ""BeiDou,                                 Galileo,                                 QZSS,                                 iBeacon,                                 GPS,                                 A-GPS"", ""Бездротові підключення"": ""Bluetooth,                                 WI-FI,                                 NFC""}], [""Інтерфейси"", {""Інтерфейси і підключення"": ""USB Type-C""}], [""Додатково"", {""Безпека"": ""FaceID"", ""Оснащення"": ""пило/вологозахист,                                 гіроскоп,                                 бездротове заряджання"", ""Особливості"": ""IP68 certified"", ""Вбудовані датчики"": ""датчик освітлення,                                 компас,                                 акселерометр,                                 датчик наближення,                                 гіроскоп,                                 барометр""}], [""Фізичні характеристики"", {""Вага"": ""171 г"", ""Колір"": ""чорний"", ""Розміри (мм)"": ""147.6 x 71.6 x 7.80 мм"", ""Особливості корпусу"": ""водонепроникні""}], [""Інші"", {""Модель"": ""iPhone 15 128GB Black"", ""Артикул"": ""MTP03"", ""Виробник"": ""Apple"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""Штрихкод"": ""195949036019"", ""Гарантія, міс"": ""12""}]]","2026-02-12 11:34:37.857296+02","2026-02-12 11:34:37.857316+02","DE","6.1""","1179 х 2556"
"7","https://brain.com.ua/ukr/Mobilniy_telefon_Apple_iPhone_16_128GB_Black-p1145393.html","Мобільний телефон Apple iPhone 16 128GB Black (MYE73)","чорний","128 Gb","Apple","39 299",NULL,"U0961480",0,"{https://brain.com.ua/static/images/prod_img/8/0/U0961480_1738426191.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_2_1738426192.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_3_1738426193.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_4_1738426194.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_5_1738426196.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_6_1738426197.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_7_1738426198.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_8_1738426199.jpg,https://brain.com.ua/static/images/prod_img/8/0/U0961480_9_1738426201.jpg}","[[""Основні характеристики"", {""Форм-фактор"": ""моноблок"", ""Формат SIM-карти"": ""e-sim,                                 Nano"", ""Кількість SIM-карт"": ""1 SIM + e-sim"", ""Покоління зв'язку (2G /3G/4G/5G)"": ""2G,                                 3G,                                 4G,                                 5G""}], [""Дисплей"", {""Тип дисплея"": ""OLED"", ""Діагональ екрану"": ""6.1\"""", ""Частота оновлення екрану"": ""60 Гц"", ""Роздільна здатність екрану"": ""1179 х 2556""}], [""Процесор"", {""Процесор"": ""Apple A18"", ""Кількість ядер"": ""6 core""}], [""Функції пам'яті"", {""Вбудована пам'ять"": ""128 Gb""}], [""Камера"", {""Основна камера"": ""48 + 12 Mpx"", ""Функції камери"": ""розпізнавання обличчя,                                 геотегінг,                                 панорама,                                 автофокус,                                 спалах"", ""Фронтальна камера"": ""12 Mpx"", ""Метод стабілізації"": ""оптична"", ""Діафрагма основної камери"": ""f/1.6 + f/1.6"", ""Запис відео основної камери"": ""4K / 3840x2160 / стереозвук"", ""Діафрагма фронтальної камери"": ""f/1.9"", ""Запис відео фронтальної камери"": ""4K / 3840x2160 / стереозвук"", ""Кількість модулів основної камери"": ""2"", ""Кількість модулів фронтальної камери"": ""1""}], [""Програмне забезпечення"", {""Органайзер"": ""нотатки,                                 телефонна книга,                                 диктофон,                                 секундомір,                                 калькулятор,                                 будильник,                                 світовий час,                                 годинник,                                 календар"", ""Мультимедіа"": ""ігри,                                 FM-радіо,                                 мобільні сервіси Google,                                 соціальні мережі,                                 відеоплеєр,                                 музичний плеєр"", ""Операційна система"": ""iOS 18""}], [""Бездротові технології"", {""Навігація"": ""Galileo,                                 BeiDou,                                 QZSS,                                 iBeacon,                                 GPS,                                 A-GPS"", ""Бездротові підключення"": ""Bluetooth,                                 WI-FI,                                 NFC""}], [""Інтерфейси"", {""Інтерфейси і підключення"": ""USB Type-C""}], [""Додатково"", {""Безпека"": ""FaceID"", ""Оснащення"": ""пило/вологозахист,                                 гіроскоп,                                 бездротове заряджання"", ""Особливості"": ""IP68 certified"", ""Вбудовані датчики"": ""акселерометр,                                 компас,                                 датчик освітлення,                                 датчик наближення,                                 гіроскоп,                                 барометр""}], [""Фізичні характеристики"", {""Вага"": ""170 г"", ""Колір"": ""чорний"", ""Розміри (мм)"": ""147.6 х 71.6 х 7.8 мм"", ""Особливості корпусу"": ""безрамковий дисплей,                                 водонепроникні""}], [""Інші"", {""Модель"": ""iPhone 16 128GB Black"", ""Артикул"": ""MYE73"", ""Виробник"": ""Apple"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""Штрихкод"": ""195949821936"", ""Гарантія, міс"": ""12""}]]","2026-02-12 13:41:40.728032+02","2026-02-12 13:41:40.728051+02","DE","6.1""","1179 х 2556"
